format,row_no,brief_id,title,role,industry,jtbd,execution_status,session_id,session_url,share_status,share_id,share_url,missing_fields,repair_action
html,54,ce98f261-f9e4-4c9e-963d-f9ad05c8d580,Which prior-art fields create the most significant patent risks for software-defined vehicles?,in_house_ip_legal,automotive,"[""prior_art""]",completed,sess_db09b95cd14c4071,https://eureka.patsnap.com/ai-search/sess_db09b95cd14c4071?from=rd-home&start_from=eureka_landingpage,submission_unknown,,,share_url,retry_share_only
html,686,9484a318-3f5b-4ffe-8fa9-9f2de681428a,"How are automotive patent trends shifting across research, vehicle development, manufacturing, and mobility-enabling technologies?",innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,687,bef22d2c-ea09-422c-8677-bc1458399aae,Which automotive patent clusters show signals of emerging maturity or increasing adoption readiness?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,688,88181588-7aa9-4f15-b6b4-65325b240288,Which emerging automotive patent areas remain fragmented or comparatively underrepresented?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,689,ba55775a-c81e-4d05-bfed-bd7615fc036d,How are collaboration and knowledge-flow networks changing in the automotive patent landscape?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,690,981f6e40-9cf9-4cb6-aad0-6bd1d785e261,How are automotive patent families evolving from early filings into broader international portfolios?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,691,ebb42159-954f-4803-9c11-b4e37f5e3a4b,What intellectual-property risks could constrain automotive electrification product strategies?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,692,1bd78338-0bd0-4805-a73e-68f034025088,Which intellectual-property risks should automotive product strategists assess for software-defined vehicles?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,693,a1e158fc-f96c-4396-bcb1-2ef84e852481,What intellectual-property risks could affect automotive connected-service portfolios and business models?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,694,dd539dac-0c93-444f-be4f-f84ffdcf20c7,Which patent and ownership risks could shape automotive strategies for assisted and automated driving?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,695,1b3c4c51-41c5-4d1a-875c-1e83f7412fc9,What standard-essential patent risks should inform automotive connectivity product strategies?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,696,5049b314-2947-4d16-aa34-a59cd2f9c960,Which intellectual-property risks arise when automotive products incorporate open-source software?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,697,ce558cb5-b46d-4a40-a7ae-8c36749394fd,What IP ownership and freedom-to-operate risks could emerge from automotive technology collaborations?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,698,16dcfa9f-073d-41f5-9037-72a42c771407,Which intellectual-property risks could limit reuse of technologies across automotive product portfolios?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,699,09d5d308-3baa-473d-9ed8-22dc3c052ee8,What design-around risks and opportunities should be assessed in automotive product planning?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,700,60788398-1e40-4ac1-b094-93f4da94dca1,Which emerging automotive technology fields present the greatest intellectual-property uncertainty for product strategy?,innovation_product_strategy,automotive,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,701,430dc991-b039-46d5-9cb7-1d1d90c04641,Which propulsion and onboard energy technology trends should shape automotive R&D priorities?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,702,6a43615a-0981-45fc-a0dd-c3faad60d612,Which software-defined vehicle and electronic architecture trends merit greater automotive R&D attention?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,703,6e5efc0d-b6ca-4cce-9685-57e22d15035b,Which automated-driving and vehicle-perception research trends should be prioritized for further automotive R&D?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,704,76e2adcc-a777-4496-97e3-1198c1610e5f,Which advanced automotive manufacturing trends offer the strongest directions for future R&D investment?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,705,a08d35fa-8270-4e1f-b68f-85d5c24d4962,Which lightweighting and advanced-materials trends should guide automotive R&D priorities?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,706,f99129d9-8d00-4a7d-9b60-a347f267db44,"Which circularity, recycling, and remanufacturing technology trends should influence automotive R&D priorities?",innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,707,ec2c4c01-107e-4953-9202-2c9ef30530ea,"Which connected-vehicle, V2X, and automotive cybersecurity trends deserve priority in future R&D?",innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,708,477b0d75-975c-4702-984f-005022b0c7b7,Which vehicle thermal-management and energy-efficiency trends should be elevated in automotive R&D planning?,innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,709,8a0ec390-2f05-45ac-80cb-f9c3bd1eeeb8,"Which in-cabin interface, sensing, and occupant-experience trends should shape automotive R&D priorities?",innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,710,ff53ea9b-55e5-4b84-8a6b-fd75c9a7f2ad,"Which AI-enabled engineering, simulation, and validation trends should lead automotive R&D priorities?",innovation_product_strategy,automotive,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,711,90885bad-1450-4c16-a991-6efc0330dde2,How are major automotive technology providers changing their technology bets and development priorities?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,712,bf89d64e-1b94-41bb-8dc1-edbd84e0e9bf,Which automotive technology providers are advancing from demonstrations toward commercially ready offerings?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,713,67d92c0b-cb47-47d4-8020-962883b86736,How are partnerships changing automotive technology providers’ capabilities and routes to adoption?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,714,577087a2-2bf5-4029-a75d-fa11c0986bb0,Which emerging automotive technology providers are becoming credible alternatives to established suppliers?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,715,ea26c73d-d62e-4f5a-ba8f-e814212706c2,Which automotive technology providers are gaining repeat adoption beyond initial customer deployments?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,716,ecfbd489-5a9e-439f-aa18-7818159ee7f4,How are automotive technology providers’ claimed technical advantages changing as new evidence emerges?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,717,f339ddc6-fb23-437a-b48a-74dc35adae26,How are automotive technology providers changing licensing and interoperability to influence adoption?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,718,560eb317-ff4c-4b40-9ba7-a6edf642b542,How are acquisitions and divestitures changing who controls automotive technology capabilities?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,719,302d3694-36b2-4874-b96d-f83292d38c79,"Which automotive technology providers are reducing or ending development efforts, and how are alternatives changing?",innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,720,8c774c1f-e861-4851-bbaa-db0a80b713ed,How are automotive technology providers changing their regional reach and local adoption support?,innovation_product_strategy,automotive,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,721,b7c79e22-2609-465a-8237-71e42692cfbb,Which emerging platform technologies present the strongest innovation opportunities across the biotechnology industry?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,722,7b93cca6-495d-4fd9-a15f-2b5f399f2857,Which unmet technical needs reveal the most promising innovation opportunities across biotechnology applications?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,723,35deb1c0-e93e-4ec5-945d-98b4d78f225d,Which convergences between biotechnology and digital technologies create the most actionable innovation opportunities?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,724,9ee7647b-d4e6-4ef8-9648-4b4b7265f046,Which emerging technologies could address the most persistent biomanufacturing challenges across the biotechnology industry?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,725,2e21e904-2197-4cff-ba52-3c5481a4eb27,Which biotechnology innovations offer the greatest potential to enable more sustainable industrial practices?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,726,b5b644be-62f5-436e-9351-9ce9a5cc855c,Which enabling technologies could most effectively close scale-up and commercialization gaps across biotechnology?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,727,34e659af-9a7c-4794-a077-33a25e64c989,Which emerging research infrastructure technologies could unlock new innovation opportunities across biotechnology?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,728,72525de1-a6f5-49a9-8196-4026d48a7f92,Which technologies for generating and interpreting evidence could create new opportunities across biotechnology development?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,729,0d5cb0e6-ca58-4b58-b970-48a58a87ce46,Which decentralized or point-of-use biotechnology approaches present credible emerging innovation opportunities?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,730,53e8d1dc-d7a5-4d0e-96f3-761bbed54ce8,Which technologies from adjacent industries could be transferred into biotechnology to create new innovation opportunities?,innovation_product_strategy,biotech,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,731,d306271a-95b8-45e8-bbd9-2be893170af8,Which research tasks could map recent shifts across the biotechnology technology landscape?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,732,a27e380a-20ac-42d7-be44-52cb6d87974c,Which research approaches could clarify trends across major biotechnology therapeutic modalities?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,733,8324c77f-d8d0-401b-b6a6-20406823c16f,What task options could assess how biotechnology platform technologies are evolving?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,734,4e6e3cf1-2a62-490f-9b6c-49bddd871f4e,Which research tasks could reveal how biotechnology discovery and development workflows are changing?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,735,5c79e363-65f2-4a5b-b20e-f198c2116888,What research options could clarify major trends in biotechnology manufacturing technologies?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,736,4f59b1ff-1375-4e7d-90de-3aab0d9a96ab,Which task menu would best distinguish ways to study biotechnology diagnostics and research-tool trends?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,737,fa3f4841-4744-4ce6-8b95-640615037d80,"What research tasks could track the changing role of data, automation, and AI across biotechnology?",innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,738,237ab8fa-8454-4a46-9b1a-4fd246dafb06,Which research approaches could examine convergence among major biotechnology technology fields?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,739,770e6bec-cf1b-4a20-8604-2b36d77584f8,What task options could compare the maturity and adoption trajectories of biotechnology technologies?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,740,57f4f658-43ff-46ee-9f23-c74f0fd62ee3,Which research tasks could identify emerging biotechnology fields and their likely next directions?,innovation_product_strategy,biotech,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,741,80fd9608-2606-4256-96a7-a875b70215c0,Which biotechnology technology clusters show the strongest recent shifts in patent filing activity?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,742,8af744a1-24cd-4809-a8a9-6322ec87ebae,How is the distribution of major patent rights holders changing across the biotechnology industry?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,743,e3a14d9c-2608-4125-8aea-7a307756cf4e,Which emerging biotechnology fields are gaining patent momentum relative to established fields?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,744,876e4463-8afc-45fe-b484-77cda127e9e2,How are biotechnology patent filing trends shifting across major application areas?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,745,7d3cf7a2-3145-415b-a821-b5131a9e8b6d,Which countries and regions are becoming more prominent sources of biotechnology patent activity?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,746,df014d7f-ea29-44c6-b9af-ace1b2a0c90d,Where is patent activity converging between previously distinct biotechnology technology fields?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,747,e56d74ce-402d-4ecf-ba7a-b6219fb05553,How are collaboration patterns among biotechnology patent applicants changing over time?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,748,4beb12cd-88bd-484c-836d-d6359eee7421,"Which biotechnology patent clusters are showing signs of maturation, fragmentation, or renewal?",innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,749,58831177-c11a-4406-a5fb-1e57c6134955,How are patent citation flows changing among major biotechnology technology domains?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,750,2e04f602-3131-49e0-b295-54407efaf878,Which biotechnology patent domains are attracting the greatest increase in new organizational entrants?,innovation_product_strategy,biotech,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,751,18c14b2a-7022-4da5-a7ef-457e40e33041,Which intellectual-property risks most affect product positioning and market-entry choices across the biotech industry?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,752,24b670a6-f1ac-4c28-8fcf-417547dcda74,How do third-party platform patents create IP risks for biotech product roadmaps and feature priorities?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,753,41de0fc3-a80f-408f-b9f4-62fc848e0625,What IP ownership risks arise when biotech products depend on collaborative research and externally generated inventions?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,754,132af51d-46e9-44d1-b502-770105ca63dd,"Which IP risks should product strategists assess when biotech offerings rely on proprietary data, software, or AI-enabled methods?",innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,755,5f9de041-b8cc-470a-b865-3019081c5cc6,How can research-use restrictions and field-of-use limitations create IP risks for biotech product commercialization?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,756,aedaa404-27d6-425d-bfdd-6e4ef8b1ab64,What patent and trade-secret risks can influence manufacturing strategy for biotech products across the industry?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,757,ca3f1e89-a377-4c68-afe7-e223e358001e,"Which sequence, biomarker, and biological-target IP risks can constrain biotech product use cases?",innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,758,699bc887-c1f3-4dd1-bc74-6bf2d2d3823a,How do IP risks change when biotech companies expand existing products into new use cases or lifecycle extensions?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,759,4f1c7d18-ffec-4fda-8e92-779f95a4a378,Which jurisdiction-dependent IP risks should inform geographic expansion strategies across the biotech industry?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,760,5e899c75-126e-4b6d-83de-92f8e74a632c,How should design-around feasibility be assessed as an IP risk for biotech product differentiation?,innovation_product_strategy,biotech,"[""product_ip_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,761,e8d96836-bebd-45eb-9d44-381ba9bd7cfa,Which emerging biotechnology platform trends should be prioritized for R&D exploration across the industry?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,762,6dcdce1e-c76f-4203-81fe-a7df8c7aa32a,Which AI-enabled biotechnology trends offer the strongest evidence for prioritizing future R&D directions?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,763,8a0d6fad-44ed-4db2-aa18-7837fd033701,Which next-generation measurement and multi-omics trends should receive priority in biotechnology R&D scouting?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,764,8709f191-edf3-4b3e-8fe3-aeb6abcbe9cb,Which genome engineering and synthetic biology trends are becoming mature enough to prioritize for R&D?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,765,1e0587f3-aeca-4e18-aed0-6bb14eedabcc,Which biomanufacturing technology trends should be prioritized to improve biotechnology R&D and scale-up pathways?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,766,f6d3a08e-8824-4f49-8a04-adc392ae6ada,Which biological delivery technology trends show the greatest momentum for industry-wide R&D prioritization?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,767,a160824f-1d8f-4f98-9c45-3ea1accbe4e7,Which laboratory automation and high-throughput experimentation trends warrant priority for biotechnology R&D?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,768,85bc94c5-c28c-480f-aa5f-8af10ad399f2,Which cell-free and programmable biological system trends should be prioritized as emerging biotechnology R&D directions?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,769,0374dc0d-33b3-43fc-9fc9-0b38d87fbf45,Which sustainable biotechnology technology trends merit priority for long-term R&D investment?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,770,fa56ba4f-53aa-43c3-899c-3af5dd50fec4,Which converging biotechnology trends are most likely to shape priority R&D fields over the next five years?,innovation_product_strategy,biotech,"[""rd_directions""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,771,a443f3c2-001b-4e70-b35c-84c92799eba3,How have major biotech competitors shifted their technology priorities over the past two years?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,772,144024ff-3e55-4ea4-a1f9-723b3e1c9e90,"Which biotech competitors have advanced the maturity of their technologies, and what evidence supports that progress?",innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,773,fe2e10f1-4aca-47c8-8e21-8ebdcebfa476,How have biotech competitors changed access to their technologies through partnerships and licensing?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,774,0e6653c4-d3ac-4c35-b0ed-6069a2e664e7,Which emerging biotech competitors are gaining technical credibility relative to established participants?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,775,536ff0f3-2342-4355-8a75-c8937fc41a35,How are biotech competitors progressing from technical demonstrations toward scalable deployment?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,776,1b885a44-a547-4619-ab22-3008c62abce2,Which biotech competitors are expanding technology adoption across major application areas?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,777,0e2bd25c-e27f-478d-8955-0b2c70fca08b,How have biotech competitors’ demonstrated technical advantages changed over the past two years?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,778,dc0cc2d7-1092-4c03-b629-f3827af810e3,How are biotech competitors turning new technical capabilities into externally available products and services?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,779,abe30207-a52b-4804-8e19-6e1fb2ce1e79,How have biotech competitors’ technology exits and ownership changes affected the external supplier landscape?,innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,780,0366a78e-b4ab-487f-8c57-a4f764bf603c,"Which biotech competitors are combining previously separate technology fields, and how has their progress evolved?",innovation_product_strategy,biotech,"[""technology_competitors""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,781,3852d1de-f132-4705-be39-663218a0c9c1,Which emerging renewable and waste-derived feedstock technologies offer the strongest innovation opportunities across the chemical industry?,innovation_product_strategy,chemical,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,782,4a85e61f-3076-48ca-b2dd-7dcaca886d38,Which process-intensification technologies present underexplored innovation opportunities across chemical manufacturing?,innovation_product_strategy,chemical,"[""innovation_opportunities""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
