case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
12,"Huawei Device Co., Ltd.",engineering,used,2026-09-08T09:33:56.508558+00:00,2026-09-08T11:59:47.461123+00:00,2026-09-08T11:59:47.461123+00:00,https://eureka.patsnap.com/ai-search/sess_7ee2e729c8bd4079?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a996d919e69ffb781cd40d3179613c8f&from=invite-eureakplg-result&content=,
13,"Taiwan Semiconductor Manufacturing Co., Ltd.",electronics_manufacturing,used,2026-09-08T09:33:56.508480+00:00,2026-09-08T11:10:29.528084+00:00,2026-09-08T11:10:29.528084+00:00,https://eureka.patsnap.com/ai-search/sess_92a0ee6d569e4476?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=dfbcf776f6dd64e209a4972c125cbc49&from=invite-eureakplg-result&content=,
14,Sanofi-Aventis Deutschland GmbH,biotech,used,2026-09-08T09:33:56.508393+00:00,2026-09-08T10:52:44.429767+00:00,2026-09-08T10:52:44.429767+00:00,https://eureka.patsnap.com/ai-search/sess_1121f6f3fc634769?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8e98af53b8837246c159cb59d40cc68d&from=invite-eureakplg-result&content=,
15,Massachusetts Institute of Technology,other,used,2026-09-08T09:33:56.508665+00:00,2026-09-08T12:00:32.268036+00:00,2026-09-08T12:00:32.268036+00:00,https://eureka.patsnap.com/ai-search/sess_29216c6523764aac?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=169209731b1da8ee99a2201a2e56d641&from=invite-eureakplg-result&content=,
16,"Kobe Steel, Ltd.",materials,used,2026-09-08T09:33:56.508608+00:00,2026-09-08T12:00:04.142005+00:00,2026-09-08T12:00:04.142005+00:00,https://eureka.patsnap.com/ai-search/sess_57430594b33d4935?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=09cbad42b72fc32b483059dd63f335ef&from=invite-eureakplg-result&content=,
17,NEC Platforms Ltd.,engineering,used,2026-09-08T09:33:56.508559+00:00,2026-09-08T12:04:39.247223+00:00,2026-09-08T12:04:39.247223+00:00,https://eureka.patsnap.com/ai-search/sess_9eaa69dc0b614b98?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=983bd2f5b4cba5a8d71180c47f4f5c40&from=invite-eureakplg-result&content=,
18,"Suzuki Co., Ltd.",engineering,used,2026-09-08T09:33:56.508560+00:00,2026-09-08T12:04:41.216048+00:00,2026-09-08T12:04:41.216048+00:00,https://eureka.patsnap.com/ai-search/sess_149e04feb03044d3?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ea8b5fd528e755242dab16179ef933cb&from=invite-eureakplg-result&content=,
19,Alcon AG,medical_devices,used,2026-09-08T09:33:56.508643+00:00,2026-09-08T11:10:38.702852+00:00,2026-09-08T11:10:38.702852+00:00,https://eureka.patsnap.com/ai-search/sess_47b3ce70fcb74cb5?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=44cbdfbaf74a9cc61a4fe0b062e55f35&from=invite-eureakplg-result&content=,
20,DISCO Corp.,electronics_manufacturing,used,2026-09-08T09:33:56.508481+00:00,2026-09-08T11:59:24.077594+00:00,2026-09-08T11:59:24.077594+00:00,https://eureka.patsnap.com/ai-search/sess_a7603b67aea94c6d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=dc91550820feeaa5ff5d8b397b65a594&from=invite-eureakplg-result&content=,
21,"Trimble, Inc.",construction,used,2026-09-08T09:33:56.508464+00:00,2026-09-08T11:10:27.619570+00:00,2026-09-08T11:10:27.619570+00:00,https://eureka.patsnap.com/ai-search/sess_7fbe9a5a7cc549c8?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=fc92b9d9c8dc9a13fa566a6ae4fbf399&from=invite-eureakplg-result&content=,
22,Janssen Pharmaceutica NV,biotech,used,2026-09-08T09:33:56.508395+00:00,2026-09-08T10:52:46.016907+00:00,2026-09-08T10:52:46.016907+00:00,https://eureka.patsnap.com/ai-search/sess_e82feb643fcd483e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5cd1e3eebc9e03ef56f7eae3e004c794&from=invite-eureakplg-result&content=,
23,Oppo,engineering,used,2026-09-08T09:33:56.508562+00:00,2026-09-08T12:04:42.825484+00:00,2026-09-08T12:04:42.825484+00:00,https://eureka.patsnap.com/ai-search/sess_6049ab797c8740bc?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5b6f069bec088891a4c497e724ab9091&from=invite-eureakplg-result&content=,
24,"Graco, Inc.",engineering,used,2026-09-08T09:33:56.508563+00:00,2026-09-08T12:04:45.019250+00:00,2026-09-08T12:04:45.019250+00:00,https://eureka.patsnap.com/ai-search/sess_56804fc951c44504?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=29cd790c62af988145364478bda99b46&from=invite-eureakplg-result&content=,
25,Search results for “Metallurgy” companies,materials,used,2026-09-08T09:33:56.508609+00:00,2026-09-08T12:00:06.772030+00:00,2026-09-08T12:00:06.772030+00:00,https://eureka.patsnap.com/ai-search/sess_9e368606e4384b99?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=368e6074ecdb5a54e41103fa87801415&from=invite-eureakplg-result&content=,
26,"JD.com, Inc.",other,used,2026-09-08T09:33:56.508666+00:00,2026-09-08T12:00:34.696382+00:00,2026-09-08T12:00:34.696382+00:00,https://eureka.patsnap.com/ai-search/sess_f1f691ed14af48ff?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ccfdd554ebc29701817a5277317ef081&from=invite-eureakplg-result&content=,
27,Promega Corp.,biotech,used,2026-09-08T09:33:56.508396+00:00,2026-09-08T10:52:48.481265+00:00,2026-09-08T10:52:48.481265+00:00,https://eureka.patsnap.com/ai-search/sess_1c01eed31b234242?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=9b74914a7a87c5398da95b712e13ac76&from=invite-eureakplg-result&content=,
28,"Fiberhome Telecommunication Technologies Co., Ltd.",other,used,2026-09-08T09:33:56.508667+00:00,2026-09-08T12:05:26.089488+00:00,2026-09-08T12:05:26.089488+00:00,https://eureka.patsnap.com/ai-search/sess_4194fed069bd4bed?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b9b092330a99421823b3a9862d1f9e28&from=invite-eureakplg-result&content=,
29,Arenco AB,engineering,used,2026-09-08T09:33:56.508564+00:00,2026-09-08T12:04:46.598507+00:00,2026-09-08T12:04:46.598507+00:00,https://eureka.patsnap.com/ai-search/sess_9e307c44ab43470b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=72177af50d0f9af2683839e1f25a3b54&from=invite-eureakplg-result&content=,
30,Hexcel Corp.,engineering,used,2026-09-08T09:33:56.508565+00:00,2026-09-08T12:06:26.288449+00:00,2026-09-08T12:06:26.288449+00:00,https://eureka.patsnap.com/ai-search/sess_3f431e98b1f44b90?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=1c83ae08c9c28dea0b8233298a21a5b0&from=invite-eureakplg-result&content=,
31,China Agricultural University,other,used,2026-09-08T09:33:56.508668+00:00,2026-09-08T12:05:27.716494+00:00,2026-09-08T12:05:27.716494+00:00,https://eureka.patsnap.com/ai-search/sess_2a50ef9749c14aa6?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b3b3ab394b4411f22a872aa7cc29c66e&from=invite-eureakplg-result&content=,
32,Cilag AG,biotech,used,2026-09-08T09:33:56.508397+00:00,2026-09-08T10:52:50.871047+00:00,2026-09-08T10:52:50.871047+00:00,https://eureka.patsnap.com/ai-search/sess_8a1aad13c9bb402a?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7d2e8f694f1b062daeb0af103195bb8b&from=invite-eureakplg-result&content=,
33,Leica Geosystems AG,engineering,used,2026-09-08T09:33:56.508566+00:00,2026-09-08T12:06:28.487346+00:00,2026-09-08T12:06:28.487346+00:00,https://eureka.patsnap.com/ai-search/sess_9c0649d226d442a8?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=9f539b78b208b7502d52276818af5687&from=invite-eureakplg-result&content=,
34,Nichia Corp.,electronics_manufacturing,used,2026-09-08T09:33:56.508483+00:00,2026-09-08T11:59:25.633270+00:00,2026-09-08T11:59:25.633270+00:00,https://eureka.patsnap.com/ai-search/sess_4c882114df734a85?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7fd39b5afb4b92bf3f3b1a2ed6ba6628&from=invite-eureakplg-result&content=,
35,"ABB Automation, Inc.",engineering,used,2026-09-08T09:33:56.508567+00:00,2026-09-08T12:06:31.502159+00:00,2026-09-08T12:06:31.502159+00:00,https://eureka.patsnap.com/ai-search/sess_d719d92f47f44e9e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f6fb5f0fb523fcffe8031c870472a899&from=invite-eureakplg-result&content=,
36,"Fuji Electronics Co., Ltd.",engineering,used,2026-09-08T09:33:56.508569+00:00,2026-09-08T12:06:36.031388+00:00,2026-09-08T12:06:36.031388+00:00,https://eureka.patsnap.com/ai-search/sess_c479ef252a254100?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=49ce56192a2cf0639d53ec52f58f55da&from=invite-eureakplg-result&content=,
37,"Kennametal, Inc.",engineering,used,2026-09-08T09:33:56.508571+00:00,2026-09-08T12:06:37.754670+00:00,2026-09-08T12:06:37.754670+00:00,https://eureka.patsnap.com/ai-search/sess_97334f1f955e470b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=de3ddfbea6da7f77018788ed91194152&from=invite-eureakplg-result&content=,
38,AC Immune SA,biotech,used,2026-09-08T09:33:56.508398+00:00,2026-09-08T10:52:52.376617+00:00,2026-09-08T10:52:52.376617+00:00,https://eureka.patsnap.com/ai-search/sess_15d8c943ea494ca1?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5b81fd173e87b56a106a18c49dd02d11&from=invite-eureakplg-result&content=,
39,"Qingdao Haier Air Conditioning Electronics Co., Ltd.",engineering,used,2026-09-08T09:33:56.508572+00:00,2026-09-08T12:08:33.741731+00:00,2026-09-08T12:08:33.741731+00:00,https://eureka.patsnap.com/ai-search/sess_baee210e5ca841d8?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=319b93c77c2a7af1d4090dce04920d19&from=invite-eureakplg-result&content=,
40,University Of Jinan,other,used,2026-09-08T09:33:56.508669+00:00,2026-09-08T12:05:29.826484+00:00,2026-09-08T12:05:29.826484+00:00,https://eureka.patsnap.com/ai-search/sess_b128d623e72143f2?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a7c252bf1ec658f2e419f45e3486adb8&from=invite-eureakplg-result&content=,
41,Search results for “Biomedicine” companies,biotech,used,2026-09-08T09:33:56.508400+00:00,2026-09-08T10:52:53.851425+00:00,2026-09-08T10:52:53.851425+00:00,https://eureka.patsnap.com/ai-search/sess_26d21a0fd2ad4b03?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=024482d54196c2210031573a3d139375&from=invite-eureakplg-result&content=,
42,OSRAM Opto Semiconductors GmbH,electronics_manufacturing,used,2026-09-08T09:33:56.508484+00:00,2026-09-08T11:59:27.217850+00:00,2026-09-08T11:59:27.217850+00:00,https://eureka.patsnap.com/ai-search/sess_0571e6d6e8054b21?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=3d75287c5ee520e7e6eb968f6814d764&from=invite-eureakplg-result&content=,
43,"Shandong Iron & Steel Co., Ltd.",materials,used,2026-09-08T09:33:56.508611+00:00,2026-09-08T12:00:08.406110+00:00,2026-09-08T12:00:08.406110+00:00,https://eureka.patsnap.com/ai-search/sess_dbff80c1d2d24333?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=58aaab931084e2e8e0f0a528ac64fa15&from=invite-eureakplg-result&content=,
44,"ADT, Inc.",other,used,2026-09-08T09:33:56.508671+00:00,2026-09-08T12:05:31.527859+00:00,2026-09-08T12:05:31.527859+00:00,https://eureka.patsnap.com/ai-search/sess_007137689e914c88?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=de5bb9016381e367b4291c1bf51224cb&from=invite-eureakplg-result&content=,
45,Nisshinbo Textile Inc.,materials,used,2026-09-08T09:33:56.508612+00:00,2026-09-08T12:00:12.542135+00:00,2026-09-08T12:00:12.542135+00:00,https://eureka.patsnap.com/ai-search/sess_2f2e475a7c8a4221?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f304b6a7dfce40a271d2a26dbf113be8&from=invite-eureakplg-result&content=,
46,"S.C. Johnson & Son, Inc.",engineering,used,2026-09-08T09:33:56.508573+00:00,2026-09-08T12:08:38.781486+00:00,2026-09-08T12:08:38.781486+00:00,https://eureka.patsnap.com/ai-search/sess_79f85e68faf14301?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=824cdfd63f10b1b3184c94e6599fb205&from=invite-eureakplg-result&content=,
47,"Affymetrix, Inc.",biotech,used,2026-09-08T09:33:56.508401+00:00,2026-09-08T10:52:56.929040+00:00,2026-09-08T10:52:56.929040+00:00,https://eureka.patsnap.com/ai-search/sess_ca0ba37ca5794118?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=053a1b232492dd9fc868b6b56c49ebb3&from=invite-eureakplg-result&content=,
48,JSW,materials,used,2026-09-08T09:33:56.508613+00:00,2026-09-08T12:05:00.181552+00:00,2026-09-08T12:05:00.181552+00:00,https://eureka.patsnap.com/ai-search/sess_737cc769355443dc?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6dac3ffdd404f965fa31279ebd013050&from=invite-eureakplg-result&content=,
49,Procter & Gamble GmbH,engineering,used,2026-09-08T09:33:56.508575+00:00,2026-09-08T12:08:42.078936+00:00,2026-09-08T12:08:42.078936+00:00,https://eureka.patsnap.com/ai-search/sess_d06d85d54b6b469d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=393f73bc66327f198becf5bf688256fa&from=invite-eureakplg-result&content=,
50,"Guangdong OPPO Mobile Telecommunications Corp., Ltd.",engineering,used,2026-09-08T09:33:56.508576+00:00,2026-09-08T12:08:47.019471+00:00,2026-09-08T12:08:47.019471+00:00,https://eureka.patsnap.com/ai-search/sess_9705eff85b1842d3?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6014c3b13334ff7cf61d1142832a887d&from=invite-eureakplg-result&content=,
51,"Fujian Electric Power Co., Ltd. Quanzhou Electric Power Technology Research Institute",engineering,used,2026-09-08T09:33:56.508578+00:00,2026-09-08T12:08:52.591614+00:00,2026-09-08T12:08:52.591614+00:00,https://eureka.patsnap.com/ai-search/sess_481aec52489f4477?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=bfb8936258e3277b805e58c48a46ac7e&from=invite-eureakplg-result&content=,
52,X Corp. (United States),materials,used,2026-09-08T09:33:56.508614+00:00,2026-09-08T12:05:05.595100+00:00,2026-09-08T12:05:05.595100+00:00,https://eureka.patsnap.com/ai-search/sess_ca0ffb2da25a4b16?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7f39204a7f12727bb6b30b3e9bd153dd&from=invite-eureakplg-result&content=,
53,manroland AG,engineering,used,2026-09-08T09:33:56.508579+00:00,2026-09-08T12:11:48.320523+00:00,2026-09-08T12:11:48.320523+00:00,https://eureka.patsnap.com/ai-search/sess_c02e35aa82714f41?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=bd04da7ae07e69074026144a2d1b8ceb&from=invite-eureakplg-result&content=,
54,Atlas Copco AB,engineering,used,2026-09-08T09:33:56.508580+00:00,2026-09-08T12:11:52.060164+00:00,2026-09-08T12:11:52.060164+00:00,https://eureka.patsnap.com/ai-search/sess_510dd3b988454e5e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f50c69d5f442301d8c83eb5c21233233&from=invite-eureakplg-result&content=,
55,"Mabuchi Motor Co., Ltd.",engineering,used,2026-09-08T09:33:56.508581+00:00,2026-09-08T12:11:55.740475+00:00,2026-09-08T12:11:55.740475+00:00,https://eureka.patsnap.com/ai-search/sess_f8c8cc8472ad4484?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=fed782f65f24ad333922c3b167057959&from=invite-eureakplg-result&content=,
56,International Paper Co.,engineering,used,2026-09-08T09:33:56.508582+00:00,2026-09-08T12:11:59.688845+00:00,2026-09-08T12:11:59.688845+00:00,https://eureka.patsnap.com/ai-search/sess_cbc4b34f4c86496f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a37cdb54e622c5dd953eef31c2041fee&from=invite-eureakplg-result&content=,
57,"General Mills, Inc.",other,used,2026-09-08T09:33:56.508672+00:00,2026-09-08T12:05:34.153325+00:00,2026-09-08T12:05:34.153325+00:00,https://eureka.patsnap.com/ai-search/sess_729649603ced4c49?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ef304b04d0d24ccd26312c4ac726a32f&from=invite-eureakplg-result&content=,
58,E.I. du Pont de Nemours & Co.,food_farming_production,used,2026-09-08T09:33:56.508589+00:00,2026-09-08T11:10:34.154454+00:00,2026-09-08T11:10:34.154454+00:00,https://eureka.patsnap.com/ai-search/sess_604885974e214274?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d671bc4ffbdaa47a5e44b3ac4e4d1e56&from=invite-eureakplg-result&content=,
59,KITZ Corp.,engineering,used,2026-09-08T09:33:56.508583+00:00,2026-09-08T12:12:02.682756+00:00,2026-09-08T12:12:02.682756+00:00,https://eureka.patsnap.com/ai-search/sess_00bbeafe1d3c4692?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=fa8cd097f435568720b8383756867ec1&from=invite-eureakplg-result&content=,
60,BIONEER Corp.,biotech,used,2026-09-08T09:33:56.508402+00:00,2026-09-08T10:53:02.171482+00:00,2026-09-08T10:53:02.171482+00:00,https://eureka.patsnap.com/ai-search/sess_9be3668e98954760?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=973b6113f10a2a01de91cf1ecbb97b1c&from=invite-eureakplg-result&content=,
61,Katholieke Universiteit Leuven,engineering,used,2026-09-08T09:33:56.508584+00:00,2026-09-08T12:14:30.140984+00:00,2026-09-08T12:14:30.140984+00:00,https://eureka.patsnap.com/ai-search/sess_1596b21b7f2e4d3c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c2bc80276bea9e80f077c13db8c2b2fe&from=invite-eureakplg-result&content=,
62,"Ventana Medical Systems, Inc.",medical_devices,used,2026-09-08T09:33:56.508644+00:00,2026-09-08T12:00:14.117985+00:00,2026-09-08T12:00:14.117985+00:00,https://eureka.patsnap.com/ai-search/sess_8a828017a776451e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=2603391e2af4d09639f118b88f1ccb5d&from=invite-eureakplg-result&content=,
63,Sikorsky Aircraft Corp.,engineering,used,2026-09-08T09:33:56.508586+00:00,2026-09-08T12:14:33.247864+00:00,2026-09-08T12:14:33.247864+00:00,https://eureka.patsnap.com/ai-search/sess_d4f023609cc64e59?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5897d60c61b8f0699993f66e6f732f79&from=invite-eureakplg-result&content=,
64,"Nikkiso Co., Ltd.",engineering,used,2026-09-08T09:33:56.508587+00:00,2026-09-08T12:14:38.765615+00:00,2026-09-08T12:14:38.765615+00:00,https://eureka.patsnap.com/ai-search/sess_23d31b0f29c1450d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=3c188d38251bd8fac47bf643fb03a6ec&from=invite-eureakplg-result&content=,
65,W.R. Grace & Co.,engineering,used,2026-09-08T09:33:56.508588+00:00,2026-09-08T12:14:43.280886+00:00,2026-09-08T12:14:43.280886+00:00,https://eureka.patsnap.com/ai-search/sess_317c4323ab8d435a?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=1e0cadf227c5ffb5520c6c0af7f2fef0&from=invite-eureakplg-result&content=,
66,"Freescale Semiconductor, Inc.",electronics_manufacturing,used,2026-09-08T09:33:56.508485+00:00,2026-09-08T11:59:28.999979+00:00,2026-09-08T11:59:28.999979+00:00,https://eureka.patsnap.com/ai-search/sess_08d9b1c7f91a48d1?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=06ab4877533ba08d238ec63d72d389d0&from=invite-eureakplg-result&content=,
67,SNECMA SA,automotive,used,2026-09-08T09:33:56.507959+00:00,2026-09-08T10:51:53.569204+00:00,2026-09-08T10:51:53.569204+00:00,https://eureka.patsnap.com/ai-search/sess_75099f8f7d044e18?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=423261c4dcdfaaa202a1288fb8565160&from=invite-eureakplg-result&content=,
68,"Scientific-Atlanta, Inc.",engineering,used,2026-09-08T12:14:43.287891+00:00,2026-09-08T12:14:49.471151+00:00,2026-09-08T12:14:49.471151+00:00,https://eureka.patsnap.com/ai-search/sess_d7c18c65ce964c59?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=71b345b5f2275251b350058d059ed6f6&from=invite-eureakplg-result&content=,
69,"BTG, Inc.",engineering,used,2026-09-08T12:18:18.944603+00:00,2026-09-08T12:18:23.749490+00:00,2026-09-08T12:18:23.749490+00:00,https://eureka.patsnap.com/ai-search/sess_4d5a80f29b8145ef?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b791ff78a79bb743e171be5b42c63ce4&from=invite-eureakplg-result&content=,
70,Campagnolo SRL,engineering,used,2026-09-08T12:18:23.756707+00:00,2026-09-08T12:18:28.147770+00:00,2026-09-08T12:18:28.147770+00:00,https://eureka.patsnap.com/ai-search/sess_2199b060e3d24302?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a1fbfaa3f8be594f632524c874e7701a&from=invite-eureakplg-result&content=,
71,Microsoft Corp.,other,used,2026-09-08T09:33:56.508673+00:00,2026-09-08T12:06:50.038661+00:00,2026-09-08T12:06:50.038661+00:00,https://eureka.patsnap.com/ai-search/sess_055c0ddab1f54d41?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=42f113769f3675dbd55ee47deebe2a31&from=invite-eureakplg-result&content=,
