dimension,industry,sub_industry,content_category,count
sub_industry_total,other,market_research,,2
industry_category,medical_devices,,scout_report,2
industry_category,medical_devices,,case,2
industry_category,medical_devices,,market_landscape,2
industry_category,medical_devices,,patent_landscape,2
industry_category,medical_devices,,competitor_analysis,1
industry_category,medical_devices,,opportunity_brief,1
industry_category,medical_devices,,risk_watch,1
industry_category,medical_devices,,trend_brief,1
industry_category,materials,,scout_report,1
industry_category,materials,,case,1
industry_category,materials,,market_landscape,1
industry_category,materials,,patent_landscape,1
industry_category,materials,,competitor_analysis,2
industry_category,materials,,opportunity_brief,2
industry_category,materials,,risk_watch,2
industry_category,materials,,trend_brief,2
industry_category,automotive,,scout_report,2
industry_category,automotive,,case,2
industry_category,automotive,,market_landscape,1
industry_category,automotive,,patent_landscape,2
industry_category,automotive,,competitor_analysis,2
industry_category,automotive,,opportunity_brief,1
industry_category,automotive,,risk_watch,1
industry_category,automotive,,trend_brief,1
industry_category,electronics_manufacturing,,scout_report,2
industry_category,electronics_manufacturing,,case,1
industry_category,electronics_manufacturing,,market_landscape,1
industry_category,electronics_manufacturing,,patent_landscape,1
industry_category,electronics_manufacturing,,competitor_analysis,1
industry_category,electronics_manufacturing,,opportunity_brief,2
industry_category,electronics_manufacturing,,risk_watch,2
industry_category,electronics_manufacturing,,trend_brief,2
industry_category,engineering,,scout_report,1
industry_category,engineering,,case,2
industry_category,engineering,,market_landscape,2
industry_category,engineering,,patent_landscape,2
industry_category,engineering,,competitor_analysis,2
industry_category,engineering,,opportunity_brief,1
industry_category,engineering,,risk_watch,1
industry_category,engineering,,trend_brief,1
industry_category,biotechnology,,scout_report,2
industry_category,biotechnology,,case,1
industry_category,biotechnology,,market_landscape,1
industry_category,biotechnology,,patent_landscape,1
industry_category,biotechnology,,competitor_analysis,1
industry_category,biotechnology,,opportunity_brief,2
industry_category,biotechnology,,risk_watch,2
industry_category,biotechnology,,trend_brief,2
industry_category,food,,scout_report,1
industry_category,food,,case,2
industry_category,food,,market_landscape,2
industry_category,food,,patent_landscape,2
industry_category,food,,competitor_analysis,2
industry_category,food,,opportunity_brief,1
industry_category,food,,risk_watch,1
industry_category,food,,trend_brief,1
industry_category,farming_production,,scout_report,2
industry_category,farming_production,,case,1
industry_category,farming_production,,market_landscape,1
industry_category,farming_production,,patent_landscape,1
industry_category,farming_production,,competitor_analysis,1
industry_category,farming_production,,opportunity_brief,2
industry_category,farming_production,,risk_watch,2
industry_category,farming_production,,trend_brief,2
industry_category,energy,,scout_report,1
industry_category,energy,,case,2
industry_category,energy,,market_landscape,2
industry_category,energy,,patent_landscape,2
industry_category,energy,,competitor_analysis,2
industry_category,energy,,opportunity_brief,1
industry_category,energy,,risk_watch,1
industry_category,energy,,trend_brief,1
industry_category,chemical,,scout_report,2
industry_category,chemical,,case,1
industry_category,chemical,,market_landscape,1
industry_category,chemical,,patent_landscape,1
industry_category,chemical,,competitor_analysis,1
industry_category,chemical,,opportunity_brief,2
industry_category,chemical,,risk_watch,2
industry_category,chemical,,trend_brief,2
industry_category,construction,,scout_report,1
industry_category,construction,,case,2
industry_category,construction,,market_landscape,2
industry_category,construction,,patent_landscape,2
industry_category,construction,,competitor_analysis,2
industry_category,construction,,opportunity_brief,1
industry_category,construction,,risk_watch,1
industry_category,construction,,trend_brief,1
industry_category,other,,scout_report,1
industry_category,other,,case,1
industry_category,other,,market_landscape,2
industry_category,other,,patent_landscape,1
industry_category,other,,competitor_analysis,1
industry_category,other,,opportunity_brief,2
industry_category,other,,risk_watch,2
industry_category,other,,trend_brief,2
